"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.07136","","","","","","","","","","96.71978","","","","","","","","97.81268","",
"Afghanistan","AFG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","4.98746013641357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.61206","","","","","","","29.80521","",
"Angola","AGO","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.19449","","","","","","","","","","","","","53.40721","","","","","",
"Albania","ALB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.25227","","","","","","","94.68181","","","95.69148","96.13607","","","","","","97.76112","",
"Andorra","AND","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","32.1789588928223","32.7781410217285","33.4103393554688","34.0488586425781","34.8417282104492","35.2559089660645","36.2030792236328","37.0437507629395","37.9841613769531","38.8338088989258","39.8930282592773","40.9135589599609","41.9940490722656","43.179759979248","44.3478012084961","44.6238288879395","45.7598304748535","46.8632011413574","48.701831817627","49.6615982055664","51.1092109680176","52.4727516174316","54.0154991149902","55.1300010681152","56.5802688598633","58.9691009521484","60.3180999755859","","60.091251373291","60.4996910095215","61.8832588195801","60.3651313781738","61.65536","63.90498","65.32213","65.75614","66.55894","67.14327","66.06826","67.16059","67.22897","",
"United Arab Emirates","ARE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","38.124870300293","","","","","","","","","","68.6612777709961","","","","","","","","","","","","","","","","","","","","91.47475","","","","","","","","","","","","","","",
"Argentina","ARG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","93.5808868408203","","","","","","","","","","","96.0413589477539","","","","","","","","","","97.19341","","","","","98.51077","","","99.00176","98.92807","98.99984","99.09995","99.09121","98.93282","99.20877","99.1431","","99.06204","",
"Armenia","ARM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.1501388549805","","","","","","","","","","","","99.16107","","","","","","","","","","99.69035","","","","","","99.67716","","",
"American Samoa","ASM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","97.2199096679688","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.42","","","","","","","","","","99.42","","","","99.42","","","","",
"Australia","AUS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.1747817993164","","","","","","","","99.39788","","99.68215","99.69263","99.70496","99.70286","99.71682","99.71966","99.71714","99.71955","99.72199","","",
"Burundi","BDI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","11.983570098877","","","","","","","","","","","27.5293006896973","","","","","","","","","","52.23776","","","","","","","","43.15719","","","","","","54.66303","","","61.22369","","",
"Belgium","BEL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","9.5390796661377","","","","","","","","","","","","","16.5652408599854","","","","","","","","","","23.30014","","","","18.44291","","","","","","22.09388","","","","","","31.07165","",
"Burkina Faso","BFA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","3.1827700138092","","","","","","","","","","","","","","","","8.22542953491211","","","","","8.05797958374023","","","","","","","15.18877","","16.62224","16.29113","21.57957","","","","","","","26.22025","","","","32.68762","",
"Bangladesh","BGD","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","17.9716300964355","","","","","","","","","","25.8389797210693","","","","","","","","","","40.82335","","","","","","43.74085","","","","55.11944","54.23604","57.789","57.86093","62.25299","69.89721","70.0857","71.18194","",
"Bulgaria","BGR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.70649","","","","","","","","","","97.9839","","","","","","","","",
"Bahrain","BHR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","58.5910911560059","","","","","","","","","","76.9323196411133","","","","","","","","","","83.55742","","","","","","","","","89.01044","","","","","","94.28152","94.70737","94.94888","",
