"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.5374","","","","","","","","","","96.94053","","","","","","","","97.80013","",
"Afghanistan","AFG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","30.3077507019043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4171","","","","","","","55.47545","",
"Angola","AGO","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.91987","","","","","","","","","","","","","79.97415","","","","","",
"Albania","ALB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.18761","","","","","","","97.3062","","","98.00816","98.35261","","","","","","98.51362","",
"Andorra","AND","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","61.9856910705566","62.4375114440918","62.8371696472168","63.2911186218262","63.1765289306641","63.7943992614746","64.4932632446289","65.2016677856445","65.6584320068359","66.4993133544922","67.1978912353516","67.953498840332","68.9015121459961","69.5457763671875","70.6340026855469","71.1233062744141","71.9696273803711","72.9638137817383","73.6770477294922","74.6673736572266","75.4468688964844","75.9115371704102","77.1172790527344","77.9683227539063","80.9251098632813","81.5061187744141","81.8037719726563","78.5971221923828","79.1874008178711","79.6479721069336","78.556037902832","79.12104","80.51577","81.41061","81.69682","82.07281","82.47208","80.71021","81.11701","81.35474","",
"United Arab Emirates","ARE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","58.3861083984375","","","","","","","","","","72.2742767333984","","","","","","","","","","","","","","","","","","","","89.4821","","","","","","","","","","","","","","",
"Argentina","ARG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","94.2633895874023","","","","","","","","","","","96.2212677001953","","","","","","","","","","97.1932","","","","","98.72719","","","98.96272","98.98532","99.22831","99.11113","99.15603","99.06125","99.14825","99.10499","","98.93774","",
"Armenia","ARM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4038467407227","","","","","","","","","","","","99.67223","","","","","","","","","","99.80608","","","","","","99.8055","","",
"American Samoa","ASM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","97.4699630737305","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.4","","","","","","","","","","98.4","","","","98.4","","","","",
"Australia","AUS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4724197387695","","","","","","","","99.824","","99.84267","99.85444","99.85666","99.85285","99.86592","99.86201","99.86263","99.86405","99.86375","","",
"Burundi","BDI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","34.2627105712891","","","","","","","","","","","48.2362518310547","","","","","","","","","","67.30693","","","","","","","","53.12839","","","","","","69.69251","","","76.29605","","",
"Belgium","BEL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","25.1900596618652","","","","","","","","","","","","","39.9033393859863","","","","","","","","","","47.86596","","","","40.61617","","","","","","44.96026","","","","","","53.97703","",
"Burkina Faso","BFA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","14.5284900665283","","","","","","","","","","","","","","","","19.6261291503906","","","","","18.5177898406982","","","","","","","29.362","","31.44193","29.71436","36.68067","","","","","","","44.37945","","","","50.07459","",
"Bangladesh","BGD","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","39.7322998046875","","","","","","","","","","44.314281463623","","","","","","","","","","53.89609","","","","","","49.83233","","","","62.48306","61.54287","64.21377","64.36509","68.05536","75.61885","75.70236","76.66926","",
"Bulgaria","BGR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7366","","","","","","","","","","98.74723","","","","","","","","",
"Bahrain","BHR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","76.5183715820313","","","","","","","","","","88.5373687744141","","","","","","","","","","88.55411","","","","","","","","","92.14544","","","","","","98.55192","98.76733","98.76317","",
"Bahamas, The","BHS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.305419921875","","","","","","","","","99.03371","","","","","","","","","","","99.54133","","99.17628","","","","","","",
"Belarus","BLR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.3841781616211","","","","","","","","","","99.792106628418","","","","","","","","","","99.76369","","","","","","","","","99.79398","",
"Belize","BLZ","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.2687683105469","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","75.842887878418","","","","","","","","","","","","","","","","88.1555862426758","","","","","","","","","93.05747","","","","","","96.03626","94.95543","95.80364","","96.60105","97.10705","","","96.52275","","","","",
"Brazil","BRA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","76.3773574829102","","","","","","","","","","","","","","","","","","","","86.22798","","","","88.40946","","89.35324","89.77214","89.83787","90.17484","90.05618","91.16898","91.02567","91.17796","91.36677","91.72516","92.57516","92.89153","93.00904","",
"Barbados","BRB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","99.2872314453125","","","","","","","","","","","","","","99.5999984741211","","","","","","","","","","99.5999984741211","","","","","","","","","","99.6","","","","","","","","","","99.6","","","","","",
"Brunei Darussalam","BRN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","85.1368103027344","","","","","","","","","","92.4521865844727","","","","","","","","","","95.15042","","","","","","","","","","97.42816","","","","","","","98.05362","",
"Bhutan","BTN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.04778","","","","","","","66.00306","","","","","75.01985","","",
"Botswana","BWA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.3869400024414","","","","","","","","","","","","80.43011","","","","","","","","","","86.12214","86.74","","","","","",
"Central African Republic","CAF","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","29.5929203033447","","","","","","","","","","","","","48.0203018188477","","","","","","","","","","","","66.78953","","","","","","","","","","50.71271","","","","","","","","49.51459","",
"Canada","CAN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","99.0056762695313","99.0182495117188","99.0380325317383","99.0534591674805","99.064323425293","99.0793380737305","98.9963836669922","99.0193786621094","99.0429611206055","99.0559463500977","99.0771026611328","99.0929183959961","99.1095123291016","99.1262283325195","99.1389923095703","99.1492004394531","99.1784896850586","99.1006927490234","99.1220092773438","99.1277084350586","99.1320419311523","99.1307907104492","99.1314086914063","99.1338195800781","99.1282119750977","99.1295394897461","99.1486129760742","99.2824096679688","99.28923","99.29517","99.29645","99.29751","99.29989","99.3031","99.30689","","","",
"Switzerland","CHE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","91.4805374145508","","","","","","","","","","94.5630722045898","","","","","","","","","","95.79641","","","","","","98.60164","98.6072","","96.89878","","96.38801","","97.02469","","96.48063","","",
"China","CHN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","79.191780090332","","","","","","","","87.0249786376953","","","","","","","","","","95.13525","","","","","","","","","","97.47946","","","","","","","","98.46654","",
"Cote d'Ivoire","CIV","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.3635406494141","","","","","","","","","","43.946418762207","","60.86066","","","","","","","","","","","","51.59267","","50.7019","","","","53.65694","",
"Cameroon","CMR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","54.6298484802246","","","","","","","","","","","","","","","","","","","","","","","","79.19452","","","","","","","78.94996","","","78.32769","","","","","","","","82.62804","",
"Congo, Dem. Rep.","COD","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.92324","","","","","","76.91569","","","","","87.90839","","","","88.52469","","","",
"Congo, Rep.","COG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.43431","","","","","","","86.07651","",
"Colombia","COL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.97265625","","","91.0891036987305","","","","","","","","92.90412","92.77795","92.3928","92.4297","93.31688","93.06254","93.25019","93.48826","","","93.8674","94.06317","94.40228","","94.85183","",
"Comoros","COM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","55.9770393371582","","","","","","","","","","","","","","","","","","","","74.51404","","","","","","","","","","","","56.4798","","","","","","64.6442","",
"Cabo Verde","CPV","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.7592697143555","","","","","","","","","","","","","","80.53","","","","","","","","90.4745","","","91.69144","","","","",
"Costa Rica","CRI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","92.6821365356445","","","","","","","","","","","","","","","","94.65018","","","","","","","","","","","97.30633","","","","","","","97.80235","",
"Caribbean small states","CSS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.9478912353516","83.9832305908203","84.2481231689453","84.5004501342773","84.7538604736328","85.0106964111328","84.7002029418945","85.5443801879883","85.844856262207","86.1264572143555","86.3954086303711","86.6662979125977","86.991569519043","87.1933670043945","87.7001495361328","87.9660034179688","88.166877746582","88.44793","88.69137","88.85486","89.21985","89.43932","89.5109","","","","",
"Cuba","CUB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.80731","","","","","","","","","","99.70606","","","","","","","",
"Curacao","CUW","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.72239","","","","","","","","","","","","",
"Cyprus","CYP","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.8305892944336","","","","","","","","","98.63104","","","","","","","","","","99.28615","","","","","","","","",
"Czech Republic","CZE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","73.5902481079102","","","","","","","","","","","","","","","","","","","","","86.81102","","","","","88.21015","","","89.37704","89.98501","90.08482","90.45813","91.3716","91.65071","93.7936","","","",
"Algeria","DZA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.3774299621582","","","","","","","","","","","","","","","79.18669","","","","81.28404","","82.61584","","","","","","","","","","87.42296","",
"East Asia & Pacific (excluding high income)","EAP","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","77.1084213256836","77.2204437255859","78.029541015625","78.8396911621094","79.1565017700195","80.382568359375","80.9918594360352","81.8631286621094","82.5793609619141","83.2571716308594","83.9240570068359","84.9105606079102","87.794059753418","88.2144927978516","87.8587493896484","88.9333572387695","89.2435531616211","89.4903106689453","89.8364181518555","90.175651550293","90.5207901000977","93.7626495361328","93.9792098999023","94.1745223999023","94.5670623779297","94.6538162231445","94.8731994628906","95.0614471435547","95.4345092773438","95.6689682006836","95.9279174804688","96.5408020019531","96.6738510131836","96.8196868896484","96.84487","96.64958","96.78944","96.85599","97.09049","97.27623","97.3418","97.44793","97.51447","",
"Early-demographic dividend","EAR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","60.1456108093262","60.2877502441406","60.8451194763184","61.3564605712891","61.8618812561035","61.9129409790039","62.4053001403809","63.2513198852539","63.6964416503906","64.2760620117188","64.7726898193359","65.2232513427734","66.0430603027344","67.1252593994141","67.6781692504883","68.3279113769531","68.573127746582","69.6697692871094","70.4638366699219","71.1002197265625","71.7110977172852","72.2621994018555","72.7905120849609","75.9541931152344","76.3848495483398","76.8900985717773","77.1210403442383","77.7990264892578","78.8208236694336","79.4602279663086","79.6248779296875","79.5523376464844","80.1368637084961","81.1372909545898","81.7742767333984","82.096","81.95847","82.49057","82.87725","83.37591","83.97851","84.4391","84.67299","84.9596","",
"East Asia & Pacific","EAS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","78.1316223144531","78.2604827880859","79.0075378417969","79.754997253418","80.0339202880859","81.1732711791992","81.7271118164063","82.519416809082","83.1744537353516","83.794189453125","84.408203125","85.3535919189453","87.9654006958008","88.3548583984375","88.0474014282227","89.0171585083008","89.3034286499023","89.5257797241211","89.8602828979492","90.1862411499023","90.5188827514648","93.4338989257813","93.6401672363281","93.8608016967773","94.2474212646484","94.2999801635742","94.5339431762695","94.7509307861328","95.1637268066406","95.4111404418945","95.6750869750977","96.234977722168","96.3925094604492","96.5332565307617","96.49994","96.2759","96.42981","96.50334","96.81274","97.00108","97.07286","97.18368","97.25485","",
"Europe & Central Asia (excluding high income)","ECA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","97.0245513916016","97.5079193115234","97.6342086791992","97.6709365844727","97.7492828369141","97.8170776367188","97.89111328125","98.0130004882813","98.0156097412109","98.0692977905273","98.1191024780273","98.1672668457031","98.2160720825195","98.2837677001953","98.3218078613281","98.4145278930664","98.4320907592773","98.6623229980469","98.7062911987305","98.74462890625","98.7732315063477","98.8297271728516","98.9726333618164","98.9527282714844","98.9873809814453","98.992919921875","99.1154479980469","99.27165","99.38326","99.43304","99.45294","99.46868","99.48258","99.52835","99.52328","99.54427","",
"Europe & Central Asia","ECS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.3862991333008","97.4615020751953","97.5426025390625","97.6100616455078","97.7261734008789","97.7825622558594","97.9293212890625","97.977409362793","98.0839080810547","98.1295166015625","98.1623077392578","98.1531982421875","98.2867431640625","98.244140625","98.3327331542969","98.321403503418","98.40194","98.57995","98.63382","98.6779","98.7046","98.73574","98.78043","98.7983","98.83254","",
"Ecuador","ECU","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","86.7869720458984","","","","","","","","90.4967727661133","","","","","","","","","","","92.32713","","","","","","93.3892","93.74945","93.66378","93.31687","93.05252","93.25424","94.42573","95.25717","95.72622","95.44502","93.77906","","",
"Egypt, Arab Rep.","EGY","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","53.6151885986328","","","","","","","","","","56.9761581420898","","","","","","","","","","67.1517791748047","","","","","","","","","83.01752","74.6218","","","","80.26865","","81.67922","82.63334","","","","76.49522","","",
"Euro area","EMU","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.39012","","","","","","75.07241","","","","","","","","","","84.37324","",
"Spain","ESP","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","95.8975296020508","","","","","","","","","","98.0354919433594","","","","","","","","","","","","","98.14391","98.61747","","98.63346","98.4023","98.46194","98.52571","98.53619","98.60653","98.74875","98.73127","98.77089","98.83597","","98.92539","",
"Estonia","EST","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8759765625","","","","","","","","","","","99.77595","","","","","","","","","","","99.85898","","","","","","","","",
"Ethiopia","ETH","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9825401306152","","","","","","","","","","50","41.93662","","49.13466","","","","","","","","","","59.24146","","",
"European Union","EUU","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","66.6162414550781","67.1792221069336","67.6439590454102","67.8439102172852","68.2226409912109","68.4055328369141","68.5414428710938","68.7638320922852","69.4979400634766","69.7481918334961","70.1736907958984","70.8989715576172","71.8264389038086","72.1423416137695","72.9181518554688","73.5255889892578","74.4106063842773","74.2654571533203","74.4935607910156","74.5841827392578","72.7616424560547","72.9339828491211","72.4066619873047","70.4374923706055","70.75907","70.29576","70.43548","70.32392","70.56317","70.74738","70.81672","71.29452","71.53458","",
"Finland","FIN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.467041015625","","","","","","","","","","","","","","","","","","","","","99.07844","","",
"France","FRA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Faroe Islands","FRO","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.4441833496094","","","","","","","","","","","","","","","","","","","84.8733","","","","","","85.85235","",
"United Kingdom","GBR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.76898","","","","","","","","","","","","99.66821","","","99.43752","","",
"Ghana","GHA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.35128","","","","","","","","","","78.34891","","","","","","","","83.52458","",
"Gibraltar","GIB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.8953399658203","","","","","","","42.90316","","","","","","","36.78979","","","","43.64009","","","","","",
"Gambia, The","GMB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.98115","","","","","","","","","","","","","51.41804","","61.76725","","","","",
"Guinea-Bissau","GNB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","33.348949432373","","","","","","","","","","","","","","","","","","","","","57.61375","","","","","","","","","","","","","","62.15797","","","","","",
"Equatorial Guinea","GNQ","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.84261","","","","","","","","","","97.184","","","","97.29","","","","","",
"Greece","GRC","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","96.0637969970703","","","","","","","","","","96.0374603271484","","","","","","","","","","97.81122","","","","95.45006","","96.15757","","96.06622","","98.28216","","","","","","","","",
"Grenada","GRD","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","98.0471572875977","","","","","","","","","","","","","","98.5800018310547","","","","","","","","","","98.5800018310547","","","","","","","","","","98.58","","","","","","","","","","98.58","","","","","",
