Country Name,Country Code,Region,Mean Salaries Male,Mean Salaries Female
Afghanistan,AFG,South Asia,11.486857209886821,3.4048214299338206
Angola,AGO,Sub-Saharan Africa,44.9122497013637,19.5259645325797
Albania,ALB,Europe & Central Asia,39.66471413203649,36.5731782913208
United Arab Emirates,ARE,Middle East & North Africa,96.47978646414619,98.72982161385673
Argentina,ARG,Latin America & Caribbean,71.01978628976005,77.63517897469657
Armenia,ARM,Europe & Central Asia,56.82071454184396,50.32282134464809
Australia,AUS,East Asia & Pacific,77.17749977111816,86.0428932734898
Austria,AUT,Europe & Central Asia,85.20535687037875,88.2423929486956
Azerbaijan,AZE,Europe & Central Asia,32.479785714830676,25.65410709381104
Burundi,BDI,Sub-Saharan Africa,7.934392826897757,2.8283928121839255
Belgium,BEL,Europe & Central Asia,82.02064323425293,87.14296422685895
Benin,BEN,Sub-Saharan Africa,12.984642744064326,3.9686071446963718
Burkina Faso,BFA,Sub-Saharan Africa,10.03478573049818,5.091250010899135
Bangladesh,BGD,South Asia,39.94017832619802,20.907214300973077
Bulgaria,BGR,Europe & Central Asia,82.98207146780831,88.8838928767613
Bahrain,BHR,Middle East & North Africa,95.80285699026925,97.94025012425014
"Bahamas, The",BHS,Latin America & Caribbean,81.5525711604527,90.26839256286621
Bosnia and Herzegovina,BIH,Europe & Central Asia,71.97374997820172,72.23292895725794
Belarus,BLR,Europe & Central Asia,94.00771359034948,97.70875004359654
Belize,BLZ,Latin America & Caribbean,66.53742844717843,72.2269641331264
Bolivia,BOL,Latin America & Caribbean,40.090786116463796,28.14014278139388
Brazil,BRA,Latin America & Caribbean,62.66721398489816,69.03760719299316
Barbados,BRB,Latin America & Caribbean,80.96457181658063,89.68274988446917
Brunei Darussalam,BRN,East Asia & Pacific,92.67042813982282,94.28221402849469
Bhutan,BTN,South Asia,31.615750108446395,16.31292850630624
Botswana,BWA,Sub-Saharan Africa,70.86917877197266,66.50178527832031
Central African Republic,CAF,Sub-Saharan Africa,8.223964333534239,2.348392878259932
Canada,CAN,North America,80.90921374729702,88.3196781703404
Switzerland,CHE,Europe & Central Asia,81.53575052533832,85.89339256286621
Channel Islands,CHI,Europe & Central Asia,81.10117857796806,89.08603531973702
Chile,CHL,Latin America & Caribbean,69.26489230564663,73.70428603036065
China,CHN,East Asia & Pacific,45.511857169015066,39.5687142099653
Cote d'Ivoire,CIV,Sub-Saharan Africa,28.742142745426715,10.671535696302142
Cameroon,CMR,Sub-Saharan Africa,27.616392680576872,9.508392810821528
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,20.46864284787859,5.58832141331264
"Congo, Rep.",COG,Sub-Saharan Africa,34.078035899571006,7.926500013896399
Colombia,COL,Latin America & Caribbean,47.20403575897217,50.48682171957834
Comoros,COM,Sub-Saharan Africa,38.804357528686516,16.346392869949344
Cabo Verde,CPV,Sub-Saharan Africa,62.984999656677246,55.03410720825195
Costa Rica,CRI,Latin America & Caribbean,70.6387860434396,76.22828619820731
Cuba,CUB,Latin America & Caribbean,88.94896371023995,95.11385781424386
Cyprus,CYP,Europe & Central Asia,74.39725085667202,85.43835721697126
Czech Republic,CZE,Europe & Central Asia,81.29428509303501,89.57807132175991
Germany,DEU,Europe & Central Asia,86.7081435067313,91.71553584507534
Djibouti,DJI,Middle East & North Africa,53.79335744040353,39.3726784842355
Denmark,DNK,Europe & Central Asia,87.74803515842984,94.22385733468192
Dominican Republic,DOM,Latin America & Caribbean,49.18900012969971,68.55392973763603
Algeria,DZA,Middle East & North Africa,64.45582185472762,67.47939314161029
Ecuador,ECU,Latin America & Caribbean,58.607214518955786,44.91850021907262
"Egypt, Arab Rep.",EGY,Middle East & North Africa,61.82221439906528,55.03067834036691
Eritrea,ERI,Sub-Saharan Africa,25.153571673801967,10.79975002152579
Spain,ESP,Europe & Central Asia,77.70860699244908,83.66203580583844
Estonia,EST,Europe & Central Asia,89.03114237104144,94.65232167925153
Ethiopia,ETH,Sub-Saharan Africa,11.963607106889995,8.099892837660652
Finland,FIN,Europe & Central Asia,81.68103545052665,90.5663572038923
Fiji,FJI,East Asia & Pacific,58.80092852456229,55.53807190486363
France,FRA,Europe & Central Asia,85.20442908150811,91.25871413094657
Gabon,GAB,Sub-Saharan Africa,66.80010727473667,49.33164255959648
United Kingdom,GBR,Europe & Central Asia,82.18492780412946,91.37253516060966
Georgia,GEO,Europe & Central Asia,41.37092876434326,41.37085723876953
Ghana,GHA,Sub-Saharan Africa,26.299035685403005,12.071249995912826
Guinea,GIN,Sub-Saharan Africa,11.95064285823277,2.5154642973627364
"Gambia, The",GMB,Sub-Saharan Africa,31.39925009863718,13.970678567886349
Guinea-Bissau,GNB,Sub-Saharan Africa,26.17396429606846,11.673321451459612
Equatorial Guinea,GNQ,Sub-Saharan Africa,44.112928662981325,24.239035674503874
Greece,GRC,Europe & Central Asia,58.317535809108186,64.31892939976282
Guatemala,GTM,Latin America & Caribbean,57.102963720049175,44.33985696520124
Guam,GUM,East Asia & Pacific,81.65450041634696,87.8776068006243
Guyana,GUY,Latin America & Caribbean,38.97585718972341,30.890678473881316
"Hong Kong SAR, China",HKG,East Asia & Pacific,85.25482150486538,94.34724998474121
Honduras,HND,Latin America & Caribbean,48.587321281433105,44.05274990626744
Croatia,HRV,Europe & Central Asia,76.24903597150531,79.05828503199986
Haiti,HTI,Latin America & Caribbean,14.586892843246464,10.605607203074866
Hungary,HUN,Europe & Central Asia,82.649963923863,89.58064351763043
Indonesia,IDN,East Asia & Pacific,42.137250082833425,33.07785735811506
India,IND,South Asia,18.323107174464635,11.944928629057742
Ireland,IRL,Europe & Central Asia,74.30717849731445,91.49642835344586
"Iran, Islamic Rep.",IRN,Middle East & North Africa,54.374821526663645,52.350821358816965
Iraq,IRQ,Middle East & North Africa,68.99142864772251,61.22024985722133
Iceland,ISL,Europe & Central Asia,79.6137147630964,90.8829288482666
Israel,ISR,Middle East & North Africa,84.23874991280692,92.96025058201381
Italy,ITA,Europe & Central Asia,69.6489282335554,79.60828563145229
Jamaica,JAM,Latin America & Caribbean,55.54346438816616,66.3298921585083
Jordan,JOR,Middle East & North Africa,83.14928545270648,96.7105358668736
Japan,JPN,East Asia & Pacific,85.43621499197823,84.19999967302597
Kazakhstan,KAZ,Europe & Central Asia,66.10446425846645,62.31471429552351
Kenya,KEN,Sub-Saharan Africa,48.60235677446638,20.230107103075312
Kyrgyz Republic,KGZ,Europe & Central Asia,51.78360734667097,56.045535223824636
Cambodia,KHM,East Asia & Pacific,33.10425009046283,24.18910745212009
"Korea, Rep.",KOR,East Asia & Pacific,67.39017854418074,67.10939243861608
Kuwait,KWT,Middle East & North Africa,97.00867870875767,99.47750009809222
Lao PDR,LAO,East Asia & Pacific,18.281821455274308,8.769642915044509
Lebanon,LBN,Middle East & North Africa,57.06310721806118,83.97153581891742
Liberia,LBR,Sub-Saharan Africa,27.27582148143224,8.85328573840005
Libya,LBY,Middle East & North Africa,92.82503536769322,95.12325014386859
St. Lucia,LCA,Latin America & Caribbean,60.59332152775356,72.08942822047642
Sri Lanka,LKA,South Asia,57.846107210431775,58.03924982888358
Lesotho,LSO,Sub-Saharan Africa,34.83314282553537,47.8188213620867
Lithuania,LTU,Europe & Central Asia,81.16471481323242,86.45957156590053
Luxembourg,LUX,Europe & Central Asia,90.9346068246024,92.5248214176723
Latvia,LVA,Europe & Central Asia,84.53910664149693,88.69685636247907
"Macao SAR, China",MAC,East Asia & Pacific,88.00157138279506,94.20124980381557
Morocco,MAR,Middle East & North Africa,47.618607112339554,32.19757134573799
Moldova,MDA,Europe & Central Asia,65.27496446881976,68.38939312526158
Madagascar,MDG,Sub-Saharan Africa,15.093250070299424,9.966357180050442
Maldives,MDV,South Asia,74.12764276776996,51.40957123892648
Mexico,MEX,Latin America & Caribbean,63.308643341064446,63.69599969046457
North Macedonia,MKD,Europe & Central Asia,72.61182131086078,77.67103603907994
Mali,MLI,Sub-Saharan Africa,13.436821426664084,5.231357199805124
Malta,MLT,Middle East & North Africa,83.18260765075684,93.78750010899137
Myanmar,MMR,East Asia & Pacific,31.846964359283444,30.56357124873571
Montenegro,MNE,Europe & Central Asia,76.20710781642369,85.22550010681152
Mongolia,MNG,East Asia & Pacific,41.531000137329094,47.082964760916575
Mozambique,MOZ,Sub-Saharan Africa,17.60503571374076,3.8985000167574198
Mauritania,MRT,Sub-Saharan Africa,46.43832152230399,27.33121429170881
Mauritius,MUS,Sub-Saharan Africa,77.01928547450474,85.0816070011684
Malawi,MWI,Sub-Saharan Africa,42.96300016130719,32.30889279501779
Malaysia,MYS,East Asia & Pacific,73.59914261954171,75.4394280569894
Namibia,NAM,Sub-Saharan Africa,73.03032112121582,56.08692850385393
New Caledonia,NCL,East Asia & Pacific,79.9656069619315,87.40428597586495
Niger,NER,Sub-Saharan Africa,10.686035667146957,7.810142840657916
Nigeria,NGA,Sub-Saharan Africa,20.647000108446388,12.23724995340619
Nicaragua,NIC,Latin America & Caribbean,53.322785513741636,50.74546459742954
Netherlands,NLD,Europe & Central Asia,84.53028597150531,89.15535790579659
Norway,NOR,Europe & Central Asia,89.28996440342495,95.03285707746234
Nepal,NPL,South Asia,25.947214399065295,7.47460719517299
New Zealand,NZL,East Asia & Pacific,77.10350036621092,86.45128631591797
Oman,OMN,Middle East & North Africa,91.88935688563755,93.69560623168945
Pakistan,PAK,South Asia,39.33171435764858,26.754071440015533
Panama,PAN,Latin America & Caribbean,61.88557147979736,74.83071436200824
Peru,PER,Latin America & Caribbean,46.423142841884065,34.873892715999055
Philippines,PHL,East Asia & Pacific,53.73239271981375,51.645785740443635
Papua New Guinea,PNG,East Asia & Pacific,26.282714298793245,10.890000036784576
Poland,POL,Europe & Central Asia,72.29028620038714,77.1440350668771
Puerto Rico,PRI,Latin America & Caribbean,79.51907103402274,92.27603612627301
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,39.50242846352713,22.21474988119943
Portugal,PRT,Europe & Central Asia,73.43214362008231,78.17178617204938
Paraguay,PRY,Latin America & Caribbean,47.64892864227295,47.629499844142366
West Bank and Gaza,PSE,Middle East & North Africa,64.63924966539655,61.58842822483608
French Polynesia,PYF,East Asia & Pacific,78.20378548758372,85.14735794067384
Qatar,QAT,Middle East & North Africa,98.94292804173061,99.74999999999999
Romania,ROU,Europe & Central Asia,66.11007131849017,62.947249821254175
Russian Federation,RUS,Europe & Central Asia,93.53774969918388,94.76574952261788
Rwanda,RWA,Sub-Saharan Africa,22.931464229311256,10.625285685062407
Saudi Arabia,SAU,Middle East & North Africa,92.5047858101981,97.9020355769566
Sudan,SDN,Sub-Saharan Africa,51.670678683689665,50.48364312308174
Senegal,SEN,Sub-Saharan Africa,27.696785756519862,17.070071424756726
Singapore,SGP,East Asia & Pacific,81.58660643441338,90.86682156154086
Solomon Islands,SLB,East Asia & Pacific,19.828642777034226,13.187714338302616
Sierra Leone,SLE,Sub-Saharan Africa,15.514178514480585,4.7230357101985385
El Salvador,SLV,Latin America & Caribbean,62.92989253997802,49.78164277757917
Somalia,SOM,Sub-Saharan Africa,20.853821345737998,9.767464365277975
Serbia,SRB,Europe & Central Asia,64.53507205418178,68.82571492876325
South Sudan,SSD,Sub-Saharan Africa,16.976607118334083,7.434107201439994
Sao Tome and Principe,STP,Sub-Saharan Africa,51.94435719081334,39.848750114440925
Suriname,SUR,Latin America & Caribbean,81.80471474783761,88.6288572038923
Slovak Republic,SVK,Europe & Central Asia,85.30439267839704,93.23417854309082
Slovenia,SVN,Europe & Central Asia,81.13232149396624,86.74342782156808
Sweden,SWE,Europe & Central Asia,84.62574986049107,93.80460820879254
Eswatini,SWZ,Sub-Saharan Africa,77.52939305986676,63.114000047956196
Syrian Arab Republic,SYR,Middle East & North Africa,53.57139260428293,63.720249720982146
Chad,TCD,Sub-Saharan Africa,10.012678555079862,0.8954999979053228
Togo,TGO,Sub-Saharan Africa,26.34499999455043,12.758107185363766
Thailand,THA,East Asia & Pacific,42.43314279828753,40.07075023651124
Tajikistan,TJK,Europe & Central Asia,48.82853562491281,60.0527138028826
Turkmenistan,TKM,Europe & Central Asia,70.07271466936383,75.08842849731445
Timor-Leste,TLS,East Asia & Pacific,27.967857224600657,17.22007155418396
Tonga,TON,East Asia & Pacific,46.51760741642543,40.03717885698591
Trinidad and Tobago,TTO,Latin America & Caribbean,74.51146371023995,82.43200056893485
Tunisia,TUN,Middle East & North Africa,69.98789269583565,79.34728540693011
Turkey,TUR,Europe & Central Asia,59.62060751233782,45.47464302607944
Tanzania,TZA,Sub-Saharan Africa,15.806285619735728,7.252428599766321
Uganda,UGA,Sub-Saharan Africa,22.748785700116837,9.519107120377678
Ukraine,UKR,Europe & Central Asia,82.18917846679688,82.08057103838239
Uruguay,URY,Latin America & Caribbean,69.10403578622001,75.67442784990583
United States,USA,North America,91.30721473693848,94.00603539603098
Uzbekistan,UZB,Europe & Central Asia,53.89803545815604,53.13324982779367
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,72.19496427263532,80.05778585161481
"Venezuela, RB",VEN,Latin America & Caribbean,61.65189252580915,64.34392915453229
Virgin Islands (U.S.),VIR,Latin America & Caribbean,79.78550011771065,88.1302855355399
Vietnam,VNM,East Asia & Pacific,31.246392999376578,22.627142906188965
Vanuatu,VUT,East Asia & Pacific,29.798499924795976,22.86746447426933
Samoa,WSM,East Asia & Pacific,64.40907164982387,62.90135724203928
"Yemen, Rep.",YEM,Middle East & North Africa,52.43753569466726,35.6890001296997
South Africa,ZAF,Sub-Saharan Africa,84.10339273725238,81.36717823573521
