Country Name,Country Code,Region,Mean Unemployment Male,Mean Unemployment Female
Afghanistan,AFG,South Asia,2.724928557872772,2.7707142744745528
Angola,AGO,Sub-Saharan Africa,14.643321343830658,17.55403554439545
Albania,ALB,Europe & Central Asia,16.37728558267866,16.36782142094202
United Arab Emirates,ARE,Middle East & North Africa,1.9457142778805327,4.57932140997478
Argentina,ARG,Latin America & Caribbean,9.952357172966002,12.530178615025106
Armenia,ARM,Europe & Central Asia,10.711857208183835,14.224678431238447
Australia,AUS,East Asia & Pacific,6.694285724844251,6.523642846516201
Austria,AUT,Europe & Central Asia,4.870571451527732,4.875892852033887
Azerbaijan,AZE,Europe & Central Asia,6.239214318139213,7.181714385747912
Burundi,BDI,Sub-Saharan Africa,2.2691428661346436,1.3603214323520663
Belgium,BEL,Europe & Central Asia,7.081250020435879,8.991035682814463
Benin,BEN,Sub-Saharan Africa,1.577642849513463,1.200357138046197
Burkina Faso,BFA,Sub-Saharan Africa,3.098857130323137,4.951892861298153
Bangladesh,BGD,South Asia,3.1103928514889314,4.862321436405182
Bulgaria,BGR,Europe & Central Asia,11.90964286667959,11.081142868314467
Bahrain,BHR,Middle East & North Africa,0.3670357141111578,3.702607129301343
"Bahamas, The",BHS,Latin America & Caribbean,10.351964235305777,12.244678667613437
Bosnia and Herzegovina,BIH,Europe & Central Asia,22.708178452083043,28.59003557477678
Belarus,BLR,Europe & Central Asia,10.771464249917434,7.220071445618353
Belize,BLZ,Latin America & Caribbean,7.372321418353491,16.82235710961478
Bolivia,BOL,Latin America & Caribbean,2.4581785925797055,3.7483571256910038
Brazil,BRA,Latin America & Caribbean,6.89075003351484,10.77925000871931
Barbados,BRB,Latin America & Caribbean,11.170321481568477,14.353285721370154
Brunei Darussalam,BRN,East Asia & Pacific,5.274678562368666,7.701607193265642
Bhutan,BTN,South Asia,1.7944999975817548,2.8241785722119466
Botswana,BWA,Sub-Saharan Africa,16.231607062476023,21.771928514753064
Central African Republic,CAF,Sub-Saharan Africa,6.483285767691476,7.80935708114079
Canada,CAN,North America,8.298428620610915,7.377607124192375
Switzerland,CHE,Europe & Central Asia,3.53164284995624,4.329035793031966
Channel Islands,CHI,Europe & Central Asia,7.455714310918536,8.224571432386126
Chile,CHL,Latin America & Caribbean,6.906678506306242,9.384500009672985
China,CHN,East Asia & Pacific,4.337821389947619,3.402035704680851
Cote d'Ivoire,CIV,Sub-Saharan Africa,4.8761071009295325,5.208107105323246
Cameroon,CMR,Sub-Saharan Africa,5.816107077257974,5.211071423121861
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,3.9697142924581246,2.6638571534838005
"Congo, Rep.",COG,Sub-Saharan Africa,15.525285584586005,17.75539289202009
Colombia,COL,Latin America & Caribbean,9.14657144887107,15.050785677773602
Comoros,COM,Sub-Saharan Africa,4.053928596632821,4.63399999482291
Cabo Verde,CPV,Sub-Saharan Africa,10.967464412961688,11.738357135227755
Costa Rica,CRI,Latin America & Caribbean,5.541214304310935,8.438142895698544
Cuba,CUB,Latin America & Caribbean,3.212535721915109,6.04732143027442
Cyprus,CYP,Europe & Central Asia,6.081464286361422,7.01757141521999
Czech Republic,CZE,Europe & Central Asia,4.794142842292786,6.8733571852956485
Germany,DEU,Europe & Central Asia,7.289142915180754,7.6263571296419395
Djibouti,DJI,Middle East & North Africa,11.952071462358745,13.212678670883179
Denmark,DNK,Europe & Central Asia,5.713392802647183,6.566678549562182
Dominican Republic,DOM,Latin America & Caribbean,4.492285736969539,9.782392910548623
Algeria,DZA,Middle East & North Africa,18.057571479252395,21.63653578077043
Ecuador,ECU,Latin America & Caribbean,3.551035719258444,5.472107163497381
"Egypt, Arab Rep.",EGY,Middle East & North Africa,6.908749972070966,22.247714315141945
Eritrea,ERI,Sub-Saharan Africa,6.266642842973981,7.20849997656686
Spain,ESP,Europe & Central Asia,14.688857095582136,21.234428644180298
Estonia,EST,Europe & Central Asia,9.520035692623683,7.949571379593437
Ethiopia,ETH,Sub-Saharan Africa,2.1025357033525194,3.3682142666407997
Finland,FIN,Europe & Central Asia,10.61971426010132,9.97060714449201
Fiji,FJI,East Asia & Pacific,3.612035700253078,5.1443928991045285
France,FRA,Europe & Central Asia,9.027999929019378,10.849499974931993
Gabon,GAB,Sub-Saharan Africa,15.152142899376996,23.04935720988683
United Kingdom,GBR,Europe & Central Asia,7.258857131004335,5.685464279992241
Georgia,GEO,Europe & Central Asia,13.775821464402327,11.488107153347553
